frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
9,load_transition,left,SUPPORT->UNLOADING
25,load_transition,left,UNLOADING->SUPPORT
26,load_transition,right,SUPPORT->UNLOADING
30,load_transition,right,UNLOADING->SUPPORT
32,load_transition,left,SUPPORT->UNLOADING
34,velocity_saturation,,0.9999981571402388
35,velocity_saturation,,0.9999686073720909
40,velocity_saturation,,0.9999999731226189
41,load_transition,left,UNLOADING->SUPPORT
41,velocity_saturation,,1.0000000000000002
42,load_transition,left,SUPPORT->UNLOADING
42,velocity_saturation,,1.0000000000000002
44,velocity_saturation,,1.0
45,load_transition,left,UNLOADING->SUPPORT
45,velocity_saturation,,1.0000000000000002
46,load_transition,right,SUPPORT->UNLOADING
49,load_transition,right,UNLOADING->SUPPORT
49,velocity_saturation,,1.0
50,load_transition,left,SUPPORT->UNLOADING
50,load_transition,right,SUPPORT->UNLOADING
53,load_transition,left,UNLOADING->SUPPORT
53,load_transition,right,UNLOADING->SUPPORT
53,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
53,velocity_saturation,,1.0
54,load_transition,left,SUPPORT->UNLOADING
54,load_transition,right,SUPPORT->UNLOADING
55,velocity_saturation,,0.9999999999999999
57,load_transition,right,UNLOADING->SUPPORT
58,velocity_saturation,,0.9999912568199903
62,arm_branch_flip,left,1
63,velocity_saturation,,1.0
64,arm_branch_flip,left,-1
64,velocity_saturation,,0.999999677201635
70,velocity_saturation,,0.999970125687483
72,load_transition,left,UNLOADING->LOADING
76,velocity_saturation,,1.0
77,load_transition,right,SUPPORT->UNLOADING
81,load_transition,right,UNLOADING->SUPPORT
85,load_transition,right,SUPPORT->UNLOADING
89,load_transition,left,LOADING->SUPPORT
99,velocity_saturation,,0.9999944053493934
101,load_transition,right,UNLOADING->SUPPORT
101,velocity_saturation,,1.0000000000000002
102,load_transition,right,SUPPORT->UNLOADING
107,load_transition,right,UNLOADING->SUPPORT
108,load_transition,right,SUPPORT->UNLOADING
114,velocity_saturation,,0.9999953710117649
118,load_transition,right,UNLOADING->SUPPORT
119,load_transition,right,SUPPORT->UNLOADING
120,velocity_saturation,,1.0000000000000002
122,load_transition,right,UNLOADING->SUPPORT
122,velocity_saturation,,1.0
123,velocity_saturation,,0.9999920962210691
124,load_transition,left,SUPPORT->UNLOADING
127,load_transition,left,UNLOADING->SUPPORT
127,velocity_saturation,,1.0000000000000002
129,load_transition,left,SUPPORT->UNLOADING
129,load_transition,right,SUPPORT->UNLOADING
132,load_transition,left,UNLOADING->SUPPORT
132,load_transition,right,UNLOADING->SUPPORT
133,load_transition,right,SUPPORT->UNLOADING
149,load_transition,right,UNLOADING->SUPPORT
151,load_transition,left,SUPPORT->UNLOADING
153,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
153,velocity_saturation,,1.0000000000000002
155,velocity_saturation,,1.0000000000000002
