frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
8,load_transition,left,SUPPORT->UNLOADING
16,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
19,velocity_saturation,,1.0
20,velocity_saturation,,1.0
22,load_transition,left,UNLOADING->SUPPORT
24,load_transition,left,SUPPORT->UNLOADING
24,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
25,velocity_saturation,,1.0000000000000002
30,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
37,velocity_saturation,,0.9999939453223714
38,load_transition,left,UNLOADING->SUPPORT
38,velocity_saturation,,1.0
39,load_transition,right,SUPPORT->UNLOADING
41,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
41,velocity_saturation,,1.0
43,load_transition,right,UNLOADING->SUPPORT
44,load_transition,left,SUPPORT->UNLOADING
44,load_transition,right,SUPPORT->UNLOADING
45,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
47,load_transition,left,UNLOADING->SUPPORT
47,load_transition,right,UNLOADING->SUPPORT
47,velocity_saturation,,0.9999986213780896
48,load_transition,left,SUPPORT->UNLOADING
48,load_transition,right,SUPPORT->UNLOADING
48,velocity_saturation,,1.0
49,velocity_saturation,,1.0
51,load_transition,left,UNLOADING->SUPPORT
51,load_transition,right,UNLOADING->SUPPORT
51,velocity_saturation,,1.0
52,load_transition,left,SUPPORT->UNLOADING
52,load_transition,right,SUPPORT->UNLOADING
53,velocity_saturation,,1.0
55,load_transition,left,UNLOADING->SUPPORT
55,load_transition,right,UNLOADING->SUPPORT
56,load_transition,left,SUPPORT->UNLOADING
56,velocity_saturation,,0.9999968806365351
58,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
60,load_transition,left,UNLOADING->SUPPORT
60,velocity_saturation,,0.9999899853697211
61,load_transition,left,SUPPORT->UNLOADING
61,load_transition,right,SUPPORT->UNLOADING
64,load_transition,left,UNLOADING->SUPPORT
64,load_transition,right,UNLOADING->SUPPORT
65,load_transition,right,SUPPORT->UNLOADING
68,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
70,load_transition,right,UNLOADING->SUPPORT
71,load_transition,left,SUPPORT->UNLOADING
71,load_transition,right,SUPPORT->UNLOADING
72,velocity_saturation,,1.0
74,load_transition,left,UNLOADING->SUPPORT
74,load_transition,right,UNLOADING->SUPPORT
74,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
75,velocity_saturation,,1.0000000000000002
76,velocity_saturation,,0.9999986470168122
77,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
77,velocity_saturation,,1.0000000000000002
78,load_transition,left,SUPPORT->UNLOADING
78,load_transition,right,SUPPORT->UNLOADING
81,load_transition,left,UNLOADING->SUPPORT
81,load_transition,right,UNLOADING->SUPPORT
