frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,velocity_saturation,,0.9999999999999999
3,arm_branch_flip,right,-1
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
9,load_transition,left,SUPPORT->UNLOADING
22,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
27,load_transition,left,UNLOADING->SUPPORT
28,load_transition,right,SUPPORT->UNLOADING
30,velocity_saturation,,1.0000000000000002
33,velocity_saturation,,1.0
37,velocity_saturation,,1.0000000000000002
38,load_transition,right,UNLOADING->SUPPORT
38,velocity_saturation,,1.0000000000000002
39,load_transition,left,SUPPORT->UNLOADING
39,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
45,velocity_saturation,,0.999987725798944
47,velocity_saturation,,0.9999864268615037
52,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
57,load_transition,left,UNLOADING->SUPPORT
57,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
57,velocity_saturation,,0.9999965184519909
58,load_transition,right,SUPPORT->UNLOADING
60,velocity_saturation,,1.0
62,load_transition,right,UNLOADING->SUPPORT
66,load_transition,left,SUPPORT->UNLOADING
67,velocity_saturation,,1.0000000000000002
68,velocity_saturation,,1.0000000000000002
69,load_transition,left,UNLOADING->SUPPORT
74,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
74,velocity_saturation,,0.9999999999999999
75,load_transition,right,SUPPORT->UNLOADING
77,velocity_saturation,,0.9999885567571708
79,load_transition,right,UNLOADING->SUPPORT
81,velocity_saturation,,1.0
82,load_transition,right,SUPPORT->UNLOADING
83,velocity_saturation,,0.9999999999999999
86,velocity_saturation,,1.0
89,load_transition,right,UNLOADING->SUPPORT
89,velocity_saturation,,1.0
90,qp_infeasible,,Stage B: NoSolutionFound: QP solver proxqp failed to find a solution.
91,velocity_saturation,,0.9999994735098239
93,load_transition,right,SUPPORT->UNLOADING
93,velocity_saturation,,0.9999958693428718
96,load_transition,right,UNLOADING->SUPPORT
96,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
96,velocity_saturation,,1.0
97,load_transition,right,SUPPORT->UNLOADING
100,load_transition,right,UNLOADING->SUPPORT
100,velocity_saturation,,1.0000000000000002
101,load_transition,right,SUPPORT->UNLOADING
102,velocity_saturation,,0.9999998445896388
104,load_transition,right,UNLOADING->SUPPORT
105,qp_infeasible,,Stage B: NoSolutionFound: QP solver proxqp failed to find a solution.
106,load_transition,left,SUPPORT->UNLOADING
106,load_transition,right,SUPPORT->UNLOADING
109,load_transition,left,UNLOADING->SUPPORT
109,load_transition,right,UNLOADING->SUPPORT
110,velocity_saturation,,1.0
111,load_transition,right,SUPPORT->UNLOADING
111,velocity_saturation,,0.9999992213474063
114,load_transition,right,UNLOADING->SUPPORT
114,velocity_saturation,,1.0
115,load_transition,right,SUPPORT->UNLOADING
115,velocity_saturation,,1.0000000000000002
119,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
120,load_transition,right,UNLOADING->SUPPORT
121,load_transition,right,SUPPORT->UNLOADING
122,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
125,load_transition,right,UNLOADING->SUPPORT
125,velocity_saturation,,1.0
126,velocity_saturation,,1.0
128,velocity_saturation,,1.0
129,load_transition,left,SUPPORT->UNLOADING
129,load_transition,right,SUPPORT->UNLOADING
131,velocity_saturation,,0.9999934764518126
132,load_transition,left,UNLOADING->SUPPORT
132,load_transition,right,UNLOADING->SUPPORT
132,qp_infeasible,,Stage A: NoSolutionFound: QP solver proxqp failed to find a solution.
133,load_transition,right,SUPPORT->UNLOADING
136,velocity_saturation,,1.0000000000000002
139,velocity_saturation,,0.9999704792377017
145,load_transition,right,UNLOADING->SUPPORT
146,load_transition,right,SUPPORT->UNLOADING
147,velocity_saturation,,1.0
