frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
5,load_transition,left,UNLOADED->UNLOADING
5,load_transition,right,UNLOADED->SUPPORT
5,arm_branch_flip,left,-1
11,liftoff,left,AIR
15,touchdown,left,FLAT
19,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
19,velocity_saturation,,1.0
23,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
23,velocity_saturation,,0.9999993382751916
24,velocity_saturation,,0.9999913913150931
26,velocity_saturation,,0.9999994235896847
28,velocity_saturation,,1.0
29,velocity_saturation,,1.0
30,load_transition,left,UNLOADING->LOADING
30,velocity_saturation,,1.0
31,load_transition,right,SUPPORT->UNLOADING
34,velocity_saturation,,0.999994000323278
38,arm_branch_flip,left,1
38,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
40,load_transition,left,LOADING->SUPPORT
44,arm_branch_flip,left,-1
46,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
46,velocity_saturation,,1.0000000000000002
49,load_transition,right,UNLOADING->SUPPORT
50,arm_branch_flip,left,1
50,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
50,velocity_saturation,,1.0
51,load_transition,left,SUPPORT->UNLOADING
51,velocity_saturation,,0.9999961945191299
52,load_transition,right,SUPPORT->LOADING
53,velocity_saturation,,0.9999957764363039
54,load_transition,left,UNLOADING->SUPPORT
54,velocity_saturation,,0.9999999999999999
55,load_transition,right,LOADING->UNLOADING
55,arm_branch_flip,left,-1
58,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
60,arm_branch_flip,left,1
60,velocity_saturation,,0.9999958433471655
61,velocity_saturation,,1.0000000000000002
65,arm_branch_flip,left,-1
67,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
72,velocity_saturation,,1.0
75,velocity_saturation,,0.9999989577925958
76,load_transition,right,UNLOADING->LOADING
82,load_transition,left,SUPPORT->UNLOADING
84,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
85,load_transition,left,UNLOADING->SUPPORT
89,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
90,load_transition,left,SUPPORT->UNLOADING
90,load_transition,right,LOADING->SUPPORT
90,velocity_saturation,,0.9999960477481814
94,velocity_saturation,,1.0
96,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
96,velocity_saturation,,1.0000000000000002
97,velocity_saturation,,1.0
98,velocity_saturation,,1.0
102,liftoff,left,AIR
104,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
104,velocity_saturation,,0.999994614059994
105,velocity_saturation,,1.0
106,velocity_saturation,,1.0000000000000002
107,velocity_saturation,,0.9999851726551736
109,arm_branch_flip,left,1
111,touchdown,left,FLAT
112,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
112,velocity_saturation,,1.0
113,arm_branch_flip,left,-1
114,velocity_saturation,,1.0000000000000002
115,load_transition,right,SUPPORT->LOADING
115,velocity_saturation,,1.0
116,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
116,velocity_saturation,,0.9999996032202078
117,velocity_saturation,,0.9999336661421384
118,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
118,velocity_saturation,,0.9999951217106294
120,load_transition,right,LOADING->SUPPORT
121,velocity_saturation,,0.9999993088121533
123,velocity_saturation,,0.9999738289833526
125,velocity_saturation,,0.999999448297863
126,velocity_saturation,,1.0
127,load_transition,left,UNLOADING->LOADING
128,load_transition,right,SUPPORT->UNLOADING
128,velocity_saturation,,0.9999879650070201
131,load_transition,right,UNLOADING->SUPPORT
131,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
131,velocity_saturation,,1.0000000000000002
132,load_transition,right,SUPPORT->UNLOADING
135,load_transition,right,UNLOADING->SUPPORT
136,load_transition,left,LOADING->SUPPORT
138,velocity_saturation,,1.0
139,load_transition,right,SUPPORT->UNLOADING
142,load_transition,right,UNLOADING->SUPPORT
143,velocity_saturation,,0.999996867409519
146,velocity_saturation,,1.0
147,load_transition,left,SUPPORT->UNLOADING
147,load_transition,right,SUPPORT->UNLOADING
150,load_transition,left,UNLOADING->SUPPORT
152,velocity_saturation,,0.9999999999999999
153,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
153,velocity_saturation,,0.9999999999999999
154,liftoff,right,AIR
155,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
157,touchdown,right,FLAT
158,arm_branch_flip,left,1
159,velocity_saturation,,0.999995493170558
160,arm_branch_flip,left,-1
160,velocity_saturation,,0.9999999999999999
161,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
161,velocity_saturation,,0.9999985911334175
164,velocity_saturation,,1.0
165,velocity_saturation,,0.9999999999999999
168,load_transition,right,UNLOADING->LOADING
168,velocity_saturation,,0.9999914668076321
169,load_transition,left,SUPPORT->UNLOADING
171,arm_branch_flip,left,1
171,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
171,velocity_saturation,,1.0
172,load_transition,left,UNLOADING->SUPPORT
174,load_transition,left,SUPPORT->UNLOADING
177,load_transition,left,UNLOADING->SUPPORT
178,load_transition,left,SUPPORT->UNLOADING
180,arm_branch_flip,left,-1
181,load_transition,left,UNLOADING->SUPPORT
181,arm_branch_flip,left,1
183,arm_branch_flip,left,-1
184,load_transition,left,SUPPORT->UNLOADING
187,load_transition,left,UNLOADING->SUPPORT
187,load_transition,right,LOADING->SUPPORT
189,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
190,load_transition,left,SUPPORT->UNLOADING
191,velocity_saturation,,0.9999732493605072
192,velocity_saturation,,0.9999990138070634
193,load_transition,left,UNLOADING->SUPPORT
193,velocity_saturation,,1.0
194,load_transition,left,SUPPORT->UNLOADING
196,velocity_saturation,,1.0
198,velocity_saturation,,0.9999981277914525
203,liftoff,left,AIR
207,touchdown,left,FLAT
209,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
216,load_transition,left,UNLOADING->LOADING
217,load_transition,right,SUPPORT->UNLOADING
219,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
220,load_transition,right,UNLOADING->SUPPORT
220,velocity_saturation,,1.0
221,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
221,velocity_saturation,,1.0
222,load_transition,right,SUPPORT->UNLOADING
224,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
224,velocity_saturation,,0.999985601184904
225,load_transition,right,UNLOADING->SUPPORT
225,velocity_saturation,,1.0
226,arm_branch_flip,left,1
226,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
226,velocity_saturation,,1.0
227,load_transition,right,SUPPORT->UNLOADING
227,velocity_saturation,,1.0000000000000002
228,velocity_saturation,,0.9999957113640378
230,load_transition,right,UNLOADING->SUPPORT
230,arm_branch_flip,left,-1
230,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
230,velocity_saturation,,0.9999524703312781
233,load_transition,right,SUPPORT->UNLOADING
234,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
235,load_transition,left,LOADING->SUPPORT
236,load_transition,right,UNLOADING->SUPPORT
239,velocity_saturation,,0.9999750981996658
240,velocity_saturation,,1.0
241,load_transition,left,SUPPORT->UNLOADING
244,load_transition,left,UNLOADING->SUPPORT
247,load_transition,right,SUPPORT->UNLOADING
254,liftoff,right,AIR
254,velocity_saturation,,0.9999606530220585
257,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
257,velocity_saturation,,1.0
258,touchdown,right,FLAT
262,velocity_saturation,,0.9999807803562403
265,velocity_saturation,,0.9999383913956553
266,velocity_saturation,,1.0000000000000002
270,load_transition,left,SUPPORT->LOADING
273,load_transition,left,LOADING->SUPPORT
276,velocity_saturation,,0.9999795218173039
278,load_transition,right,UNLOADING->LOADING
278,velocity_saturation,,1.0000000000000002
279,load_transition,left,SUPPORT->UNLOADING
279,velocity_saturation,,1.0000000000000002
280,velocity_saturation,,1.0000000000000002
284,load_transition,left,UNLOADING->SUPPORT
284,velocity_saturation,,1.0000000000000002
285,load_transition,left,SUPPORT->UNLOADING
285,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
287,velocity_saturation,,0.999996665006243
288,load_transition,left,UNLOADING->SUPPORT
288,load_transition,right,LOADING->SUPPORT
289,load_transition,left,SUPPORT->UNLOADING
291,arm_branch_flip,left,1
291,velocity_saturation,,1.0000000000000002
292,load_transition,left,UNLOADING->SUPPORT
292,velocity_saturation,,1.0000000000000002
293,arm_branch_flip,left,-1
293,velocity_saturation,,1.0000000000000002
294,load_transition,left,SUPPORT->UNLOADING
294,load_transition,right,SUPPORT->LOADING
294,velocity_saturation,,1.0
295,velocity_saturation,,1.0
298,load_transition,right,LOADING->SUPPORT
300,velocity_saturation,,0.9999999345369106
301,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
301,velocity_saturation,,1.0
302,velocity_saturation,,0.9999995250775626
307,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
307,velocity_saturation,,1.0000000000000002
309,load_transition,right,SUPPORT->UNLOADING
314,load_transition,left,UNLOADING->LOADING
314,velocity_saturation,,1.0
315,load_transition,right,UNLOADING->LOADING
315,velocity_saturation,,1.0
316,load_transition,right,LOADING->UNLOADING
317,load_transition,left,LOADING->UNLOADING
317,velocity_saturation,,1.0
319,load_transition,right,UNLOADING->LOADING
319,velocity_saturation,,1.0000000000000002
320,velocity_saturation,,1.0
321,velocity_saturation,,0.9999999999999999
322,load_transition,left,UNLOADING->LOADING
322,load_transition,right,LOADING->SUPPORT
324,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
324,velocity_saturation,,1.0
325,load_transition,right,SUPPORT->UNLOADING
326,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
326,velocity_saturation,,0.999998587995234
329,velocity_saturation,,1.0
332,load_transition,right,UNLOADING->LOADING
335,velocity_saturation,,1.0000000000000002
337,load_transition,left,LOADING->SUPPORT
337,load_transition,right,LOADING->SUPPORT
340,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
343,velocity_saturation,,0.9999810872578407
347,load_transition,right,SUPPORT->UNLOADING
349,velocity_saturation,,1.0000000000000002
350,load_transition,right,UNLOADING->SUPPORT
352,velocity_saturation,,0.9999821101502262
354,load_transition,left,SUPPORT->UNLOADING
354,load_transition,right,SUPPORT->UNLOADING
355,velocity_saturation,,1.0000000000000002
356,velocity_saturation,,0.9999825005445633
357,load_transition,left,UNLOADING->SUPPORT
360,velocity_saturation,,0.9999995119374124
361,velocity_saturation,,1.0000000000000002
366,arm_branch_flip,left,1
366,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
366,velocity_saturation,,1.0000000000000002
368,velocity_saturation,,0.9999990361286503
371,qp_infeasible,,Stage A: NoSolutionFound: QP solver proxqp failed to find a solution.
373,velocity_saturation,,0.9999803835082266
374,velocity_saturation,,1.0000000000000002
376,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
376,velocity_saturation,,0.9999999999999999
377,arm_branch_flip,left,-1
377,velocity_saturation,,0.9999650955214154
378,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
378,velocity_saturation,,0.9999999999999999
379,velocity_saturation,,1.0000000000000002
380,velocity_saturation,,0.9999460645171577
383,load_transition,right,UNLOADING->LOADING
384,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
384,velocity_saturation,,0.9999992503242875
385,load_transition,left,SUPPORT->UNLOADING
385,velocity_saturation,,1.0
386,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
388,load_transition,left,UNLOADING->SUPPORT
390,load_transition,left,SUPPORT->UNLOADING
