frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
5,load_transition,left,UNLOADED->LOADING
5,load_transition,right,UNLOADED->SUPPORT
10,load_transition,right,SUPPORT->UNLOADING
28,load_transition,right,UNLOADING->SUPPORT
52,velocity_saturation,,0.999994078188929
54,velocity_saturation,,1.0
55,load_transition,right,SUPPORT->UNLOADING
57,velocity_saturation,,0.9999996919833677
59,velocity_saturation,,1.0
60,load_transition,right,UNLOADING->SUPPORT
60,velocity_saturation,,1.0
61,load_transition,right,SUPPORT->UNLOADING
64,load_transition,right,UNLOADING->SUPPORT
67,load_transition,right,SUPPORT->UNLOADING
70,load_transition,right,UNLOADING->SUPPORT
72,velocity_saturation,,0.9999778877252176
74,velocity_saturation,,1.0
75,load_transition,right,SUPPORT->UNLOADING
75,velocity_saturation,,1.0000000000000002
78,load_transition,right,UNLOADING->SUPPORT
79,load_transition,right,SUPPORT->UNLOADING
82,load_transition,right,UNLOADING->SUPPORT
83,velocity_saturation,,0.999999970389077
84,load_transition,right,SUPPORT->UNLOADING
84,velocity_saturation,,1.0000000000000002
85,velocity_saturation,,1.0000000000000002
86,velocity_saturation,,1.0000000000000002
87,load_transition,right,UNLOADING->SUPPORT
105,load_transition,left,LOADING->SUPPORT
105,velocity_saturation,,0.9999829317244421
106,load_transition,left,SUPPORT->UNLOADING
106,velocity_saturation,,1.0000000000000002
108,velocity_saturation,,1.0
109,velocity_saturation,,0.999999989927278
117,liftoff,left,AIR
121,velocity_saturation,,1.0000000000000002
131,load_transition,left,UNLOADING->UNLOADED
132,touchdown,left,FLAT
135,load_transition,left,UNLOADED->LOADING
137,velocity_saturation,,0.999994626381005
139,load_transition,right,SUPPORT->UNLOADING
139,velocity_saturation,,1.0000000000000002
145,velocity_saturation,,1.0000000000000002
155,velocity_saturation,,1.0000000000000002
159,load_transition,right,UNLOADING->LOADING
168,load_transition,right,LOADING->SUPPORT
173,velocity_saturation,,0.9999892224483874
175,velocity_saturation,,0.9999919711293677
176,velocity_saturation,,1.0
177,load_transition,right,SUPPORT->UNLOADING
177,velocity_saturation,,1.0000000000000002
178,qp_infeasible,,Stage B: NoSolutionFound: QP solver proxqp failed to find a solution.
